tag_name,description,time_stamp,value,quality
ACEP-WS-DWINBOX.Cordova(A).PCFB-DAM-BLOWER-AMPS,PCFB - DAM BLOWER AMPS,2018-07-25 20:31:35.976000,0,-32768
ACEP-WS-DWINBOX.Cordova(A).ORCA-G3EPM-KW-DEMAND,ORCA - G3EPM KW DEMAND,2018-08-08 21:01:28.734000,0,-32768
ACEP-WS-DWINBOX.Cordova(A).ORCA-G3EPM-AVG-AMPS,ORCA - G3EPM AVERAGE AMPS,2018-08-08 21:01:28.734000,0,-32768
ACEP-WS-DWINBOX.Cordova(A).ORCA-G3EPM-LL-AVGVOLTS,ORCA - G3EPM LINE TO LINE  AVERAGE VOLTS,2018-08-08 21:01:28.734000,0,-32768
ACEP-WS-DWINBOX.Cordova(A).ORCA-G3EPM-LN-AVGVOLTS,ORCA - G3EPM LINE TO NUETRAL  AVERAGE VOLTS,2018-08-08 21:01:28.734000,0,-32768
ACEP-WS-DWINBOX.Cordova(A).ORCA-G3EPM-RAW-FREQ,ORCA - G3EPM RAW FREQUENCY,2018-08-08 21:01:28.734000,0,-32768
ACEP-WS-DWINBOX.Cordova(A).ORCA-G3EPM--KW,ORCA - G3EPM KW,2018-08-08 21:01:28.765000,0,-32768
ACEP-WS-DWINBOX.Cordova(A).ORCA-G3EPM--KVAR,ORCA - G3EPM KVAR,2018-08-08 21:01:28.875000,0,-32768
ACEP-WS-DWINBOX.Cordova(A).COMTEST-PLC-TIME-SECONDS,COMTEST - PLC TIME SECONDS,2019-04-17 17:32:25.356000,0,-32768
ACEP-WS-DWINBOX.Cordova(A).ORCA-OPERATOR-ENTRY-01,ORCA - FUEL TANK1 FEET,2019-04-19 17:29:48.295000,9,192
ACEP-WS-DWINBOX.Cordova(A).EYAK-GENERIC-TREND1-VALUE,EYAK - GENERIC TREND 1 VALUE,2019-04-19 17:29:48.311000,0,192
ACEP-WS-DWINBOX.Cordova(A).GEN5-BASE-LOAD-SETPT,GEN5 - BASE LOAD SETPOINT,2019-04-19 17:29:48.311000,400,192
ACEP-WS-DWINBOX.Cordova(A).GEN7-ORC-GAS-DETECT,GEN7 - ORC GAS DETECTR,2019-04-19 17:29:48.311000,0,192
ACEP-WS-DWINBOX.Cordova(A).GEN7-TRBO-INLET-EGTL,GEN7 - TURBO INLET EGT L,2019-04-19 17:29:48.311000,0,192
ACEP-WS-DWINBOX.Cordova(A).GEN7-INTAKE-AIRFLTR-DIFFPSIL,GEN7 - INTAKE AIR FILTER DIFF PSI L,2019-04-19 17:29:48.311000,0,192
ACEP-WS-DWINBOX.Cordova(A).EYAK-GENERIC-TREND2-VALUE,EYAK - GENERIC TREND 2 VALUE,2019-04-19 17:29:48.311000,0,192
ACEP-WS-DWINBOX.Cordova(A).GEN7-ORC-PSI-RETURN,GEN7 - ORC RETURN PSI,2019-04-19 17:29:48.311000,0,192
ACEP-WS-DWINBOX.Cordova(A).GEN7-TRBO-OIL-TEMP,GEN7 - TURBO OIL TEMP,2019-04-19 17:29:48.311000,0,192
ACEP-WS-DWINBOX.Cordova(A).GEN7-INTAKE-AIRFLTR-DIFFPSIR,GEN7 - INTAKE AIR FILTER DIFF PSI R,2019-04-19 17:29:48.311000,0,192
ACEP-WS-DWINBOX.Cordova(A).GEN7-ORC-PSI-SUPPLY,GEN7 - ORC SUPPLY PSI,2019-04-19 17:29:48.311000,0,192
ACEP-WS-DWINBOX.Cordova(A).GEN7-TRBO-OUTLET-EGTL,GEN7 - TURBO OUTLET EGT L,2019-04-19 17:29:48.311000,0,192
ACEP-WS-DWINBOX.Cordova(A).GEN7-OIL-FLTR-DIFFPSI,GEN7 - OIL FILTER DIFF PSI,2019-04-19 17:29:48.311000,0,192
ACEP-WS-DWINBOX.Cordova(A).GEN7-ORC-TEMP_JW-RETURN_SP,GEN7 - ORC JW RETURN TEMP SETPT,2019-04-19 17:29:48.311000,130,192
ACEP-WS-DWINBOX.Cordova(A).GEN7-AFT-COOLER-CLNTFLOW,GEN7 - AFTER COOLER CLNT FLOW,2019-04-19 17:29:48.311000,0,192
ACEP-WS-DWINBOX.Cordova(A).GEN7-OIL--LEVEL,GEN7 - OIL LEVEL,2019-04-19 17:29:48.311000,0,192
ACEP-WS-DWINBOX.Cordova(A).GEN7-CLNT--LEVEL,GEN7 - COOLANT LEVEL,2019-04-19 17:29:48.311000,0,192
ACEP-WS-DWINBOX.Cordova(A).GEN7-OIL-TEMP-ENGOUTLET,GEN7 - OIL TEMP ENG OUTLET,2019-04-19 17:29:48.311000,0,192
ACEP-WS-DWINBOX.Cordova(A).GEN7-CLNT-TEMP-ENGINLET,GEN7 - COOLANT TEMP ENG INLET,2019-04-19 17:29:48.311000,0,192
ACEP-WS-DWINBOX.Cordova(A).ORCA-GEN7_ORC-KW-CURACC,ORCA - GEN7 ORC KWH CUR ACC,2019-04-19 17:29:48.326000,51877,192
ACEP-WS-DWINBOX.Cordova(A).EYAK--IND-0025,EYAK - LA 351R BREAKER CL0SED PB LED,2019-04-19 17:29:48.326000,True,192
ACEP-WS-DWINBOX.Cordova(A).ORCA-AIRPERMIT-01-ACCHRS,ORCA - AIRPERMIT 01 ACCUMULATED HOURS,2019-04-19 17:29:48.326000,0,192
ACEP-WS-DWINBOX.Cordova(A).GEN6--OOS_HRS-ACCOOS_HRS,GEN6 - HOURS ACCUMULATED HOURS,2019-04-19 17:29:48.326000,8579,192
ACEP-WS-DWINBOX.Cordova(A).EYAK--IND-0057,EYAK - MT 351R BREAKER CL0SED PB LED,2019-04-19 17:29:48.326000,True,192
ACEP-WS-DWINBOX.Cordova(A).ORCA-AIRPERMIT-02-ACCHRS,ORCA - AIRPERMIT 02 ACCUMULATED HOURS,2019-04-19 17:29:48.326000,0,192
ACEP-WS-DWINBOX.Cordova(A).GEN6-BASE-LOAD-SETPT,GEN6 - BASE LOAD SETPOINT,2019-04-19 17:29:48.326000,400,192
ACEP-WS-DWINBOX.Cordova(A).EYAK--IND-0089,EYAK - NT 351R BREAKER CL0SED PB LED,2019-04-19 17:29:48.326000,True,192
ACEP-WS-DWINBOX.Cordova(A).ORCA-AIRPERMIT-03-ACCHRS,ORCA - AIRPERMIT 03 ACCUMULATED HOURS,2019-04-19 17:29:48.326000,0,192
ACEP-WS-DWINBOX.Cordova(A).ORCA-OPERATOR-ENTRY-27,ORCA - ,2019-04-19 17:29:48.326000,0,192
ACEP-WS-DWINBOX.Cordova(A).EYAK--IND-0121,EYAK - 13M351R BREAKER CL0SED PB LED,2019-04-19 17:29:48.326000,True,192
ACEP-WS-DWINBOX.Cordova(A).ORCA-OPERATOR-ENTRY-16,ORCA - GEN3 OIL METER,2019-04-19 17:29:48.326000,289846,192
ACEP-WS-DWINBOX.Cordova(A).ORCA-OPERATOR-ENTRY-28,ORCA - ,2019-04-19 17:29:48.326000,0,192
ACEP-WS-DWINBOX.Cordova(A).ORCA-OPERATOR-ENTRY-17,ORCA - GEN4 OIL METER,2019-04-19 17:29:48.326000,42892,192
ACEP-WS-DWINBOX.Cordova(A).ORCA-OPERATOR-ENTRY-29,ORCA - ,2019-04-19 17:29:48.326000,0,192
ACEP-WS-DWINBOX.Cordova(A).ORCA-OPERATOR-ENTRY-18,ORCA - GEN5 OIL METER,2019-04-19 17:29:48.326000,0,192
ACEP-WS-DWINBOX.Cordova(A).ORCA-OPERATOR-ENTRY-30,ORCA - ,2019-04-19 17:29:48.326000,0,192
